syllable,factor,answer,sound
ba,vot,b,labN-150
ba,vot,b,labN-140
ba,vot,b,labN-130
ba,vot,b,labN-120
ba,vot,b,labN-110
ba,vot,b,labN-100
ba,vot,b,labN-90
ba,vot,b,labN-80
ba,vot,b,labN-70
ba,vot,b,labN-60
ba,vot,b,labN-50
ba,vot,b,labN-40
ba,vot,b,labN-30
ba,vot,b,labN-20
ba,vot,b,labN-10
pa,vot,p,labP-0000
pa,vot,p,labP-010
pa,vot,p,labP-020
pa,vot,p,labP-030
pa,vot,p,labP-040
pa,vot,p,labP-050
pa,vot,p,labP-060
pa,vot,p,labP-070
pa,vot,p,labP-080
pa,vot,p,labP-090
pa,vot,p,labP-100
pa,vot,p,labP-110
pa,vot,p,labP-120
pa,vot,p,labP-130
pa,vot,p,labP-140
pa,vot,p,labP-150
